date,open,low,high,close,volume,change,changePercent,vwap,changeOverTime
735263,65.8882,65.1226,66.4074,65.5266,169762789,-0.126916,-0.193,71.9614,0.0
735264,64.9233,64.7096,65.7558,65.6339,116336444,0.107251,0.16399999999999998,71.6528,0.0016375029377381867
735267,65.8974,65.4634,66.5687,65.7558,100620772,0.121932,0.18600000000000003,65.9462,0.0034978161540502885
735268,66.3222,65.9171,66.7955,66.7077,94273543,0.95186,1.4480000000000002,67.91199999999999,0.0180247410975085
735269,66.4153,66.3749,67.5586,67.2059,82322156,0.498221,0.747,67.1585,0.025627760329392915
735270,67.2745,66.9777,67.7282,67.5976,64497223,0.391719,0.583,67.6112,0.03160548540592672
735271,68.7675,68.2399,68.972,68.5433,93638601,0.945686,1.399,68.8015,0.04603779228588085
735274,68.4088,68.3217,70.1669,69.7712,86451022,1.2279,1.791,69.5991,0.06477674715306443
735275,69.9849,69.8385,70.9266,70.6906,70672252,0.919309,1.318,70.5433,0.07880769031202597
735276,70.8211,70.3318,71.1654,70.6853,77127064,-0.0052759999999999994,-0.006999999999999999,70.9369,0.07872680712870797
735277,70.5191,70.4584,71.8631,71.8077,76960156,1.1224,1.588,71.4105,0.09585572881852553
735278,71.5492,71.383,72.0121,71.7497,68468036,-0.058036000000000004,-0.081,71.6841,0.09497059209542387
735282,72.0148,71.9633,72.6993,72.0135,65306248,0.263793,0.368,72.3001,0.09899643808773828
735283,71.8499,70.4782,72.1322,70.8765,78554420,-1.1369,-1.579,71.5665,0.08164470611934681
735284,70.2988,69.7726,70.7275,70.0561,76529103,-0.8203860000000001,-1.157,70.1436,0.06912459978085234
735285,70.2728,69.1922,70.5072,69.278,69757247,-0.7781819999999999,-1.111,69.7233,0.057250032811102726
735288,69.001,68.9047,69.8939,69.5813,72364950,0.30335700000000004,0.43799999999999994,69.4534,0.061878687433805465
735289,69.8227,68.7174,69.8471,68.8572,58247350,-0.7241029999999999,-1.041,69.2109,0.05082821327521959
735290,69.0617,68.0052,69.245,68.236,69131286,-0.621228,-0.902,68.4295,0.04134809375123999
735291,68.2083,68.0645,69.7435,69.5971,75557321,1.3612,1.995,69.1569,0.06211981088596075
735292,69.7831,68.8651,70.2672,69.4085,93074653,-0.188612,-0.271,69.5702,0.059241590438081665
735295,69.0366,68.9561,69.9902,69.609,59667923,0.200482,0.289,69.4336,0.06230141652397641
735296,70.0364,69.6103,70.2527,70.068,64884834,0.458995,0.659,69.9929,0.06930620541886799
735297,70.0258,69.7897,70.531,70.2157,50065519,0.147724,0.21100000000000002,72.2467,0.0715602518671806
735298,70.2724,69.6539,70.4901,70.0034,46423111,-0.21235500000000002,-0.302,70.0689,0.06832034624106847
735299,70.0482,69.3835,70.1656,69.9625,55415241,-0.040884,-0.057999999999999996,69.7824,0.06769617224150197
735302,69.6882,69.6854,70.3437,70.0258,44691430,0.063308,0.09,70.085,0.06866219214792163
735303,70.6233,70.2461,71.0572,70.7077,70198849,0.6819,0.9740000000000001,70.7871,0.07906865303556114
735304,70.4993,70.1683,70.8739,70.7763,50195460,0.068582,0.09699999999999999,70.5878,0.08011555612529879
735305,70.8858,69.7937,71.1786,69.9902,64435609,-0.786092,-1.111,70.402,0.06811890133167292
735306,69.7449,68.9812,70.0218,69.2041,59299492,-0.786097,-1.123,69.3315,0.056122246538047066
735309,69.6011,69.3571,69.9005,69.4745,49886074,0.270384,0.391,69.6488,0.06024881498505956
735310,69.3637,69.2714,70.1643,70.0891,52411863,0.614634,0.885,69.8926,0.06962821205434129
735311,70.2025,69.5549,70.2566,70.0706,56188958,-0.018468000000000002,-0.026000000000000002,69.1552,0.06934588396162775
735312,69.89,69.4204,70.3991,69.733,52099537,-0.33765100000000003,-0.48200000000000004,69.9644,0.06419377779405619
735313,70.15899999999999,70.5718,71.2894,70.283,93612169,0.550005,0.789,57.5822,0.07258731568553838
735316,71.015,71.1693,71.9818,71.1166,88924871,0.8335790000000001,1.186,71.0099,0.08530886693342861
735317,71.4213,71.0731,72.4105,71.8816,70573356,0.764989,1.0759999999999998,74.0291,0.0969835150915812
735318,72.0834,70.5798,71.4213,71.1944,74942224,-0.6871729999999999,-0.956,71.7467,0.08649617102062368
735319,71.2254,70.465,71.0836,70.8884,55507676,-0.30599699999999996,-0.43,70.4258,0.08182631175736269
735320,71.0018,70.6866,71.3303,70.8093,50141063,-0.079138,-0.11199999999999999,70.8218,0.08061916839878754
735323,71.1219,70.7974,71.4701,70.7934,42167188,-0.015825,-0.022000000000000002,70.9193,0.08037651884883397
735324,70.928,71.2577,71.6824,71.441,50189685,0.647605,0.915,71.1331,0.09025952819160464
735325,71.5373,70.9121,71.5532,71.5597,44792195,0.11870499999999999,0.166,71.4696,0.0920710062783664
735326,71.4067,69.98100000000001,71.2234,71.0638,40648111,-0.495925,-0.693,71.2248,0.08450308729584624
735327,71.1984,68.8348,70.0232,70.1445,68812485,-0.9193100000000001,-1.294,70.3973,0.07047367023468319
735330,69.6433,68.4141,69.3927,69.0432,72462530,-1.1013,-1.57,69.2894,0.05366675518033893
735331,69.27,68.8519,69.9691,69.0392,60971883,-0.0039570000000000004,-0.006,68.9729,0.0536057112684008
735332,68.9337,69.0036,70.1999,69.9467,51542722,0.9074409999999999,1.314,69.5033,0.06745504878934669
735333,69.9941,68.2083,68.9588,69.0445,59912818,-0.9021629999999999,-1.29,69.5078,0.053686594451718805
735334,68.4536,68.2175,68.8704,68.5341,67975012,-0.510433,-0.7390000000000001,68.572,0.04589739128842322
735337,68.8361,67.442,68.8018,68.8071,51445177,0.273021,0.39799999999999996,68.5531,0.050063638278195474
735338,68.6211,67.812,68.7293,68.3164,66622577,-0.49066099999999996,-0.713,68.1077,0.042575076381194815
735339,68.3283,68.48,69.609,68.4549,53732994,0.13850099999999999,0.203,68.9927,0.044688721832049784
735340,68.5855,69.1078,70.1867,69.2371,71106721,0.782139,1.143,69.1328,0.05662585881153603
735344,69.2898,69.443,70.1453,70.0588,45668931,0.821709,1.187,69.8124,0.06916580442141057
735345,69.6816,69.1724,70.0535,70.1286,50664453,0.069771,0.1,69.8956,0.07023102068472961
735346,69.7805,73.9576,75.1803,69.212,98735259,-0.9165409999999999,-1.307,71.2319,0.05624280826412482
735347,74.9442,74.3836,75.4427,74.8861,189978082,5.6741,8.198,74.7034,0.14283512344605087
735348,74.4588,75.5166,78.5766,75.4361,97568814,0.550003,0.7340000000000001,74.977,0.15122866133753307
735351,75.5496,77.7535,78.6069,78.3576,167371680,2.9215,3.873,77.4346,0.1958136085192884
735352,78.3115,77.7918,79.0619,78.1255,70715988,-0.232136,-0.29600000000000004,79.2782,0.19227153552908285
735353,78.1664,77.3381,78.4513,77.83,114220883,-0.295446,-0.37799999999999995,78.3607,0.18776191653465915
735354,78.082,77.7799,78.3721,78.0134,61052418,0.183333,0.23600000000000002,78.152,0.19056077989701892
735355,78.1268,77.8182,79.26899999999999,78.1585,47878572,0.145086,0.18600000000000003,78.1312,0.1927751478025718
735358,77.8366,78.3998,79.7188,79.2637,71766758,1.1053,1.4140000000000001,78.7755,0.20964158067105568
735359,79.3745,77.5188,78.7797,78.3998,93641373,-0.8639120000000001,-1.09,79.3696,0.1964576217902348
